"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X11.5","X12"
"Cre16.g661100",3.40075388699591,3.26005222172044,3.07053611780747,2.95629906693434,2.75768671058524,2.8281043018546,2.88385546863023,2.72781698808694,2.60699341274763,3.0030019893063,3.13582049800228,3.12269915173991,3.37642312414086
"Cre16.g662300",4.87331959347637,5.6723403061445,5.43151371066956,5.30556350459181,5.21078550539743,5.24709801156728,5.40946093290391,5.70388943980807,6.25762349430709,6.59093314669975,6.69146244718838,6.79652271317635,6.74053845096799
"Cre16.g662600",5.54535894680845,6.17460425027794,6.54721498389691,7.23087753389808,7.27684335630614,7.33522782483481,6.79934590780628,5.7713215262294,4.40809702575792,2.7755017234265,1.90098490730356,1.43210099781859,0.988716901382098
"Cre16.g663100",3.25066463342454,3.90663079960374,3.89319630955093,4.14797912566667,4.12927076865451,4.03944472465183,4.03378050559154,3.99937057518136,4.35555525193171,4.98684142300982,5.16952894196208,5.36136151216323,5.37041231251114
"Cre16.g663800",5.38003886728707,5.37297340273242,4.98438534326713,4.2485792691179,3.69615871138938,3.5284188233,2.99154696629889,3.06223024313717,4.30952913633282,5.62051710454998,6.10259867902138,6.1838556352531,6.33715532606626
"Cre16.g663950",6.21930662022477,5.46337741317408,4.89620763748589,4.3438275832495,4.30641567578061,4.7673630281646,5.07563236607269,5.26341732437418,5.43650434641133,5.80782202502701,6.07522954198982,6.05762068649637,5.9740371703017
"Cre16.g664450",3.47949207723774,3.23957921879408,3.16811937466612,3.21855726223242,3.21466068497072,3.41210961473391,3.49402760817796,3.60377660812143,3.41819537652211,3.46685099202336,3.60791839760385,3.53452904266455,3.51051113052037
"Cre16.g664550",8.74900885807137,7.41148502431632,7.30222251926525,7.7837235381334,7.69106905555975,7.68646516947715,7.58888951505887,7.42054120895617,7.05606642712732,6.89922857768199,6.94045286508914,7.00541637606744,7.01597452613643
"Cre16.g664600",5.99408396808781,6.33424904049114,6.2245834168722,6.24994969218593,6.37499357735955,6.5400122933895,6.74118553729287,6.8036984808577,6.74528027513416,6.88149999265525,6.78205759789635,6.85187632184546,6.73136307451109
"Cre16.g664700",1.71898204097422,2.80654037012944,2.56961911145009,2.76315180310323,3.27405229083402,3.38506704312781,3.94684707267241,4.222891859764,4.72414117776286,4.6693846901821,4.62468874991423,4.62178462102418,4.71079295271852
"Cre16.g665000",4.324613715564,4.97663782935006,4.88146911435634,5.07534981570617,5.33625729414329,5.13426660246065,5.36411425425872,5.78097146925056,6.41174048958417,6.93207136868931,7.06888024926371,7.22812197807257,7.07290239709489
"Cre16.g665400",6.64214492426839,6.619884482564,6.26641102106338,5.95291978509695,5.96377208216594,5.89547434960187,6.07834143719203,6.50435049191837,6.67400275969925,7.07403822843775,7.32086979304328,7.4693836463575,7.51694988118613
"Cre16.g666100",3.25495082756117,3.39525140521735,3.33295331412815,3.13480395126228,3.09830942309919,2.89088180579651,2.62055341528362,2.35241800363418,2.54012416504606,3.07335937701938,3.19680214112713,3.24761284938327,3.31169824371409
"Cre16.g669800",0.316552833143435,0.327653014021495,0.201890173536206,0.313158820736474,0.225137146276911,0.258925068427579,0.265769333359276,0.240142902853031,0.158953015289292,0.277849189615326,0.127266788380061,0.0571168722135439,0.185428080873324
"Cre16.g671250",0.00682045533469316,0.0894433513846706,0.0166145803925555,0.0046735861296263,0.0224418391198824,0.0100288261706267,0.0137893637371413,0.0202007576421033,0.101124221892645,0.122595696532154,0.172823085543828,0.0494792400440844,0.0496812698788861
"Cre16.g672385",8.221781836489,7.38105760730198,6.86171861680836,6.40576408268935,5.99769349899482,5.9069715823587,5.62136862012368,5.43158230597588,5.29165731670636,5.61694416486537,5.84202851080332,5.85099452306867,5.85726330056425
"Cre16.g672800",2.68823115222029,3.77692360395922,4.32025242550984,4.88044631407151,5.46017706046825,5.64023064696492,5.83027049542483,6.1027418634798,6.41532352989612,6.93758839865693,7.05261660083359,7.21949307299329,7.10751078304037
"Cre16.g672850",1.91709064047425,2.32420626011449,2.34520156334512,2.4350146424105,2.23310211646385,2.48155670256146,2.5547914405691,2.88307229021589,3.21252652659233,3.66500725416512,3.82656183200561,3.84810209539851,3.76014527275839
"Cre16.g674000",4.04859714341326,4.01596923234951,3.75068792335982,3.56163661682649,3.55461821439783,3.64713594347314,3.57922052419349,4.00613923700486,4.28673640198565,4.75968841962156,4.72340275584493,4.53645451240804,4.52838932265565
"Cre16.g674739",2.7665405617167,2.22439498516749,2.19959648669456,2.54357737526626,2.38162504278743,2.43593044686816,2.60929798822995,2.90550556193857,3.3337600972759,3.74023120631183,3.65822290994874,3.4599789792604,3.37216364600121
"Cre16.g675602",0.802258675603558,3.24232236301416,3.73193602474398,4.56139640019139,4.97281780860322,5.03113052746585,5.46820413361289,5.83389219719873,6.29447139409648,6.5992357818878,6.52642957925706,6.63650942890036,6.34105305466951
"Cre16.g675749",2.56718030082732,1.68197940312776,1.70104113095054,2.1403297162276,2.82188293711913,2.56949076440929,2.97428056772883,3.69924594648228,4.31592174436009,5.25554857291298,5.55773778722299,5.60012400993089,5.5642337352803
"Cre16.g676197",4.93348774737032,4.6940014291613,4.82185831015615,5.16482391749872,5.07249596152683,5.29714410940454,5.50134530823269,6.03102211066178,6.1920372971332,6.62931637849631,6.57556575766446,6.38697298350204,6.39385498479873
"Cre16.g676400",3.23981391166157,3.05496399850291,3.1312158270984,2.98626178195624,2.91402481709767,3.12606399379003,3.19598694153015,3.45360025065265,3.52816126824335,3.92161284498555,3.96703966683561,3.7652092553508,3.77931474356565
